"","playerID","yearID","teamID.x","lgID.x","AB","H","HR","RBI","BB","SO","nameFirst","nameLast","nameGiven","salary","HperAB","HRperH","recordID","count","playerCount","fullName"
"339","ankieri01",1999,"SLN","NL",10,1,0,0,0,3,"Rick","Ankiel","Richard Alexander",2e+05,0.1,0,388,1,6,"Rick Ankiel"
"340","ankieri01",2000,"SLN","NL",68,17,2,9,4,20,"Rick","Ankiel","Richard Alexander",202500,0.25,0.117647058823529,389,1,6,"Rick Ankiel"
"341","ankieri01",2008,"SLN","NL",413,109,25,71,42,100,"Rick","Ankiel","Richard Alexander",9e+05,0.263922518159806,0.229357798165138,390,1,6,"Rick Ankiel"
"342","ankieri01",2009,"SLN","NL",372,86,11,38,26,99,"Rick","Ankiel","Richard Alexander",2825000,0.231182795698925,0.127906976744186,391,1,6,"Rick Ankiel"
"343","ankieri01",2011,"WAS","NL",380,91,9,37,29,96,"Rick","Ankiel","Richard Alexander",1500000,0.239473684210526,0.0989010989010989,394,1,6,"Rick Ankiel"
"344","ankieri01",2012,"WAS","NL",158,36,5,15,12,59,"Rick","Ankiel","Richard Alexander",1250000,0.227848101265823,0.138888888888889,395,1,6,"Rick Ankiel"
"345","anthoer01",1989,"HOU","NL",61,11,4,7,9,16,"Eric","Anthony","Eric Todd",68000,0.180327868852459,0.363636363636364,396,1,6,"Eric Anthony"
"346","anthoer01",1991,"HOU","NL",118,18,1,7,12,41,"Eric","Anthony","Eric Todd",115000,0.152542372881356,0.0555555555555556,397,1,6,"Eric Anthony"
"347","anthoer01",1992,"HOU","NL",440,105,19,80,38,98,"Eric","Anthony","Eric Todd",120000,0.238636363636364,0.180952380952381,398,1,6,"Eric Anthony"
"348","anthoer01",1993,"HOU","NL",486,121,15,66,49,88,"Eric","Anthony","Eric Todd",350000,0.248971193415638,0.12396694214876,399,1,6,"Eric Anthony"
"349","anthoer01",1994,"SEA","AL",262,62,10,30,23,66,"Eric","Anthony","Eric Todd",1100000,0.236641221374046,0.161290322580645,400,1,6,"Eric Anthony"
"350","anthoer01",1995,"CIN","NL",134,36,5,23,13,30,"Eric","Anthony","Eric Todd",575000,0.26865671641791,0.138888888888889,401,1,6,"Eric Anthony"
"351","aokino01",2012,"MIL","NL",520,150,10,50,43,55,"Nori","Aoki","Norichika",1e+06,0.288461538461538,0.0666666666666667,404,1,5,"Nori Aoki"
"352","aokino01",2013,"MIL","NL",597,171,8,37,55,40,"Nori","Aoki","Norichika",1712500,0.28643216080402,0.0467836257309941,405,1,5,"Nori Aoki"
"353","aokino01",2014,"KCA","AL",491,140,1,43,43,49,"Nori","Aoki","Norichika",1950000,0.285132382892057,0.00714285714285714,406,1,5,"Nori Aoki"
"354","aokino01",2015,"SFN","NL",355,102,5,26,30,25,"Nori","Aoki","Norichika",4e+06,0.287323943661972,0.0490196078431373,407,1,5,"Nori Aoki"
"355","aokino01",2016,"SEA","AL",417,118,4,28,34,45,"Nori","Aoki","Norichika",5500000,0.282973621103118,0.0338983050847458,408,1,5,"Nori Aoki"
